timestamp_utc,load_mwh,hedge_unhedged_mwh,hedge_coarse_cal_mwh,hedge_granular_mwh,R_DA_UNHEDGED,R_DA_COARSE_CAL,R_DA_GRANULAR,day_ahead_price_eur_mwh
2023-12-31T23:00:00Z,1.077136,0.0,1.0979940165499635,1.260913654443696,1.077136,-0.020858016549963443,-0.18377765444369598,0.1
2023-12-31T23:15:00Z,1.003301,0.0,1.0979940165499635,1.260913654443696,1.003301,-0.09469301654996354,-0.2576126544436961,0.1
2023-12-31T23:30:00Z,0.933171,0.0,1.0979940165499635,1.260913654443696,0.933171,-0.16482301654996356,-0.3277426544436961,0.1
2023-12-31T23:45:00Z,0.8657109999999999,0.0,1.0979940165499635,1.260913654443696,0.8657109999999999,-0.23228301654996364,-0.3952026544436962,0.1
2024-01-01T00:00:00Z,0.800915,0.0,1.0979940165499635,1.260913654443696,0.800915,-0.2970790165499635,-0.45999865444369603,0.01
2024-01-01T00:15:00Z,0.741765,0.0,1.0979940165499635,1.260913654443696,0.741765,-0.35622901654996353,-0.5191486544436961,0.01
2024-01-01T00:30:00Z,0.689202,0.0,1.0979940165499635,1.260913654443696,0.689202,-0.40879201654996355,-0.5717116544436961,0.01
2024-01-01T00:45:00Z,0.64641,0.0,1.0979940165499635,1.260913654443696,0.64641,-0.4515840165499635,-0.614503654443696,0.01
2024-01-01T01:00:00Z,0.6151639999999999,0.0,1.0979940165499635,1.260913654443696,0.6151639999999999,-0.4828300165499636,-0.6457496544436961,0.0
2024-01-01T01:15:00Z,0.5926369999999999,0.0,1.0979940165499635,1.260913654443696,0.5926369999999999,-0.5053570165499637,-0.6682766544436962,0.0
2024-01-01T01:30:00Z,0.575596,0.0,1.0979940165499635,1.260913654443696,0.575596,-0.5223980165499635,-0.6853176544436961,0.0
2024-01-01T01:45:00Z,0.5635929999999999,0.0,1.0979940165499635,1.260913654443696,0.5635929999999999,-0.5344010165499636,-0.6973206544436962,0.0
2024-01-01T02:00:00Z,0.5522919999999999,0.0,1.0979940165499635,1.260913654443696,0.5522919999999999,-0.5457020165499636,-0.7086216544436962,-0.01
2024-01-01T02:15:00Z,0.541627,0.0,1.0979940165499635,1.260913654443696,0.541627,-0.5563670165499636,-0.7192866544436961,-0.01
2024-01-01T02:30:00Z,0.532488,0.0,1.0979940165499635,1.260913654443696,0.532488,-0.5655060165499636,-0.7284256544436961,-0.01
2024-01-01T02:45:00Z,0.524543,0.0,1.0979940165499635,1.260913654443696,0.524543,-0.5734510165499636,-0.7363706544436961,-0.01
2024-01-01T03:00:00Z,0.516748,0.0,1.0979940165499635,1.260913654443696,0.516748,-0.5812460165499636,-0.7441656544436961,-0.03
2024-01-01T03:15:00Z,0.511229,0.0,1.0979940165499635,1.260913654443696,0.511229,-0.5867650165499635,-0.749684654443696,-0.03
2024-01-01T03:30:00Z,0.508124,0.0,1.0979940165499635,1.260913654443696,0.508124,-0.5898700165499635,-0.752789654443696,-0.03
2024-01-01T03:45:00Z,0.506546,0.0,1.0979940165499635,1.260913654443696,0.506546,-0.5914480165499635,-0.754367654443696,-0.03
2024-01-01T04:00:00Z,0.50799,0.0,1.0979940165499635,1.260913654443696,0.50799,-0.5900040165499635,-0.752923654443696,-0.02
2024-01-01T04:15:00Z,0.511265,0.0,1.0979940165499635,1.260913654443696,0.511265,-0.5867290165499636,-0.7496486544436961,-0.02
2024-01-01T04:30:00Z,0.51761,0.0,1.0979940165499635,1.260913654443696,0.51761,-0.5803840165499635,-0.7433036544436961,-0.02
2024-01-01T04:45:00Z,0.5264319999999999,0.0,1.0979940165499635,1.260913654443696,0.5264319999999999,-0.5715620165499636,-0.7344816544436962,-0.02
2024-01-01T05:00:00Z,0.5387139999999999,0.0,1.0979940165499635,1.260913654443696,0.5387139999999999,-0.5592800165499636,-0.7221996544436962,-0.05
2024-01-01T05:15:00Z,0.553083,0.0,1.0979940165499635,1.260913654443696,0.553083,-0.5449110165499635,-0.7078306544436961,-0.05
2024-01-01T05:30:00Z,0.570237,0.0,1.0979940165499635,1.260913654443696,0.570237,-0.5277570165499635,-0.6906766544436961,-0.05
2024-01-01T05:45:00Z,0.589942,0.0,1.0979940165499635,1.260913654443696,0.589942,-0.5080520165499636,-0.6709716544436961,-0.05
2024-01-01T06:00:00Z,0.6151319999999999,0.0,1.0979940165499635,1.260913654443696,0.6151319999999999,-0.48286201654996364,-0.6457816544436962,-0.02
2024-01-01T06:15:00Z,0.6510830000000001,0.0,1.0979940165499635,1.260913654443696,0.6510830000000001,-0.44691101654996346,-0.609830654443696,-0.02
2024-01-01T06:30:00Z,0.7077339999999999,0.0,1.0979940165499635,1.260913654443696,0.7077339999999999,-0.3902600165499637,-0.5531796544436962,-0.02
2024-01-01T06:45:00Z,0.79382,0.0,1.0979940165499635,1.260913654443696,0.79382,-0.30417401654996357,-0.4670936544436961,-0.02
